country,year,SE.PRM.ENRR
Aruba,2013,116.039299
Afghanistan,2013,105.9838715
Angola,2013,
Albania,2013,102.2680283
Andorra,2013,
Arab World,2013,95.71264
United Arab Emirates,2013,100.3631897
Argentina,2013,110.5595779
Armenia,2013,
American Samoa,2013,
Antigua and Barbuda,2013,
Australia,2013,106.5601883
Austria,2013,101.0360336
Azerbaijan,2013,100.5004501
Burundi,2013,140.3446503
Belgium,2013,103.8259201
Benin,2013,128.7371368
Burkina Faso,2013,85.71858215
Bangladesh,2013,120.2295685
Bulgaria,2013,99.13091278
Bahrain,2013,97.63889313
"Bahamas, The",2013,
Bosnia and Herzegovina,2013,
Belarus,2013,97.86592102
Belize,2013,112.0314484
Bermuda,2013,86.45133972
Bolivia,2013,98.64302826
Brazil,2013,109.7704926
Barbados,2013,
Brunei Darussalam,2013,105.9774399
Bhutan,2013,102.7205582
Botswana,2013,111.1421585
Central African Republic,2013,
Canada,2013,100.5110397
Central Europe and the Baltics,2013,98.51448
Switzerland,2013,103.3478088
Channel Islands,2013,
Chile,2013,98.17578125
China,2013,103.8762283
Cote d'Ivoire,2013,85.32834625
Cameroon,2013,
"Congo, Dem. Rep.",2013,106.6190033
"Congo, Rep.",2013,
Colombia,2013,116.6214676
Comoros,2013,107.0317917
Cabo Verde,2013,100.7031174
Costa Rica,2013,111.8353882
Caribbean small states,2013,100.89747
Cuba,2013,100.7352676
Curacao,2013,172.8571472
Cayman Islands,2013,
Cyprus,2013,99.76197815
Czech Republic,2013,98.70732117
Germany,2013,101.7017288
Djibouti,2013,63.82498932
Dominica,2013,118.2735825
Denmark,2013,101.5501709
Dominican Republic,2013,102.9297638
Algeria,2013,119.3650665
East Asia & Pacific (excluding high income),2013,105.13045
Early-demographic dividend,2013,107.91618
East Asia & Pacific,2013,104.80112
Europe & Central Asia (excluding high income),2013,101.83491
Europe & Central Asia,2013,103.04442
Ecuador,2013,115.0745087
"Egypt, Arab Rep.",2013,102.5237503
Euro area,2013,103.50493
Eritrea,2013,63.13185883
Spain,2013,105.1445694
Estonia,2013,99.4256134
Ethiopia,2013,
European Union,2013,103.59372
Fragile and conflict affected situations,2013,97.62818
Finland,2013,100.3510818
Fiji,2013,105.6295776
France,2013,106.3111191
Faroe Islands,2013,
"Micronesia, Fed. Sts.",2013,
Gabon,2013,
United Kingdom,2013,107.3417435
Georgia,2013,106.3709412
Ghana,2013,107.2479935
Gibraltar,2013,
Guinea,2013,92.47057343
"Gambia, The",2013,84.75537872
Guinea-Bissau,2013,
Equatorial Guinea,2013,
Greece,2013,95.31456757
Grenada,2013,102.6722717
Greenland,2013,
Guatemala,2013,106.0150604
Guam,2013,
Guyana,2013,
High income,2013,101.7231
"Hong Kong SAR, China",2013,105.519249
Honduras,2013,97.01281738
Heavily indebted poor countries (HIPC),2013,100.1944
Croatia,2013,98.40791321
Haiti,2013,
Hungary,2013,99.95980835
IBRD only,2013,107.18488
IDA & IBRD total,2013,105.04849
IDA total,2013,100.71096
IDA blend,2013,96.47421
Indonesia,2013,106.1295013
IDA only,2013,102.63435
Isle of Man,2013,
India,2013,110.5746536
Not classified,2013,
Ireland,2013,102.7033768
"Iran, Islamic Rep.",2013,117.9887314
Iraq,2013,
Iceland,2013,98.1321106
Israel,2013,104.4626007
Italy,2013,101.8518677
Jamaica,2013,
Jordan,2013,
Japan,2013,100.2408905
Kazakhstan,2013,110.8696594
Kenya,2013,
Kyrgyz Republic,2013,107.1604996
Cambodia,2013,123.4763489
Kiribati,2013,
St. Kitts and Nevis,2013,
"Korea, Rep.",2013,97.02127838
Kuwait,2013,103.6713562
Latin America & Caribbean (excluding high income),2013,109.26543
Lao PDR,2013,120.6003571
Lebanon,2013,97.30387115
Liberia,2013,
Libya,2013,
St. Lucia,2013,
Latin America & Caribbean,2013,108.88048
Least developed countries: UN classification,2013,103.85972
Low income,2013,101.85484
Liechtenstein,2013,
Sri Lanka,2013,100.6163406
Lower middle income,2013,105.79598
Low & middle income,2013,105.00417
Lesotho,2013,107.2790375
Late-demographic dividend,2013,104.29665
Lithuania,2013,99.61990356
Luxembourg,2013,96.53830719
Latvia,2013,100.7728577
"Macao SAR, China",2013,97.99004364
St. Martin (French part),2013,
Morocco,2013,110.010437
Monaco,2013,
Moldova,2013,93.76831055
Madagascar,2013,143.8952789
Maldives,2013,
Middle East & North Africa,2013,105.99082
Mexico,2013,106.0886002
Marshall Islands,2013,
Middle income,2013,105.61493
"Macedonia, FYR",2013,90.95610046
Mali,2013,75.96746063
Malta,2013,100.1100311
Myanmar,2013,
Middle East & North Africa (excluding high income),2013,105.33758
Montenegro,2013,
Mongolia,2013,108.9335632
Northern Mariana Islands,2013,
Mozambique,2013,105.8459702
Mauritania,2013,95.73207855
Mauritius,2013,101.9550476
Malawi,2013,141.7471313
Malaysia,2013,105.3204727
North America,2013,98.49004
Namibia,2013,111.3146515
New Caledonia,2013,
Niger,2013,69.35250854
Nigeria,2013,94.06530762
Nicaragua,2013,
Netherlands,2013,104.202652
Norway,2013,100.23349
Nepal,2013,138.0727844
Nauru,2013,
