country,year,NY.GDP.MKTP.CD
Arab World,2013,2866038091981.47
Caribbean small states,2013,71378769877.4924
Central Europe and the Baltics,2013,1422649884075.1
Early-demographic dividend,2013,10200899854046.7
East Asia & Pacific,2013,21275182763463.1
East Asia & Pacific (excluding high income),2013,11864683022069.7
East Asia & Pacific (IDA & IBRD countries),2013,11841793044463.8
Euro area,2013,13193288711206.9
Europe & Central Asia,2013,23352202041538.8
Europe & Central Asia (excluding high income),2013,4311458738453.9
Europe & Central Asia (IDA & IBRD countries),2013,4893778917069.39
European Union,2013,18029679886231.6
Fragile and conflict affected situations,2013,844211308436.993
Heavily indebted poor countries (HIPC),2013,612898760943.11
High income,2013,50012560794420.7
IBRD only,2013,26548453670328.9
IDA & IBRD total,2013,28487508096769.4
IDA blend,2013,973743085757.227
IDA only,2013,960195465079.505
IDA total,2013,1944276302494.37
Late-demographic dividend,2013,19013144237507.8
Latin America & Caribbean,2013,6283950806813.61
Latin America & Caribbean (excluding high income),2013,5185317396876.6
Latin America & the Caribbean (IDA & IBRD countries),2013,6070269710668.72
Least developed countries: UN classification,2013,874604129382.353
Low & middle income,2013,27052759452828.6
Low income,2013,516218637744.243
Lower middle income,2013,5551655355159.18
Middle East & North Africa,2013,3552428411214.71
Middle East & North Africa (excluding high income),2013,1623203517357.34
Middle East & North Africa (IDA & IBRD countries),2013,1610655002615.51
Middle income,2013,26533427022753.1
North America,2013,18539718715830.2
Not classified,2013,
OECD members,2013,48473455967116.2
Other small states,2013,435102410506.182
Pacific island small states,2013,8442587804.70101
Post-demographic dividend,2013,45860180860076.5
Pre-demographic dividend,2013,1410489362451.95
Small states,2013,514923768188.375
South Asia,2013,2356854113186.14
South Asia (IDA & IBRD),2013,2356854113186.14
Sub-Saharan Africa,2013,1702768715442.83
Sub-Saharan Africa (excluding high income),2013,1701440425955.98
Sub-Saharan Africa (IDA & IBRD countries),2013,1702768715442.83
Upper middle income,2013,20981771667593.9
World,2013,77050588613141.6
Afghanistan,2013,20264253973.7858
Albania,2013,12776277515.48
Algeria,2013,209755003250.664
American Samoa,2013,641000000.0
Andorra,2013,3281585236.32501
Angola,2013,124912503781.148
Antigua and Barbuda,2013,1192925407.40741
Argentina,2013,552025140252.246
Armenia,2013,11121465767.4067
Aruba,2013,
Australia,2013,1573696522006.77
Austria,2013,430068712971.867
Azerbaijan,2013,74164435946.4627
"Bahamas, The",2013,10627600000.0
Bahrain,2013,32539547872.3404
Bangladesh,2013,149990451022.29
Barbados,2013,4612500000.0
Belarus,2013,75527984234.2342
Belgium,2013,520925468952.938
Belize,2013,1612573850.0
Benin,2013,9157355679.70205
Bermuda,2013,5573710000.0
Bhutan,2013,1798333725.83954
Bolivia,2013,30659338929.0883
Bosnia and Herzegovina,2013,18178503835.4491
Botswana,2013,14915780538.6724
Brazil,2013,2472806919901.67
British Virgin Islands,2013,
Brunei Darussalam,2013,18093829923.2737
Bulgaria,2013,55758754071.6612
Burkina Faso,2013,11947176341.9966
Burundi,2013,2714505634.52629
Cabo Verde,2013,1850951315.39815
Cambodia,2013,15227991395.2201
Cameroon,2013,32348149947.3727
Canada,2013,1842628005830.18
Cayman Islands,2013,
Central African Republic,2013,1518565298.35641
Chad,2013,12949854262.8127
Channel Islands,2013,
Chile,2013,278384332694.359
China,2013,9607224481532.65
Colombia,2013,380191881860.372
Comoros,2013,618663921.86116
"Congo, Dem. Rep.",2013,32671683662.2385
"Congo, Rep.",2013,14085851348.069
Costa Rica,2013,49745088111.6953
Cote d'Ivoire,2013,31273049200.243
Croatia,2013,58085856018.5104
Cuba,2013,77148000000.0
Curacao,2013,
Cyprus,2013,24084572490.7063
Czech Republic,2013,209402444996.104
Denmark,2013,343584385594.132
Djibouti,2013,1324733711.82922
Dominica,2013,501979259.259259
Dominican Republic,2013,62661773591.7203
Ecuador,2013,95129659000.0
"Egypt, Arab Rep.",2013,288586231501.877
El Salvador,2013,21977401900.0
Equatorial Guinea,2013,21942597765.3631
Eritrea,2013,
Estonia,2013,25137153149.4377
Eswatini,2013,4560713073.91948
